Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,leaf-1a,Ethernet1,172.31.1.1/31,spine,spine-1,Ethernet1,172.31.1.0/31
l3leaf,leaf-1a,Ethernet2,172.31.1.3/31,spine,spine-2,Ethernet1,172.31.1.2/31
l3leaf,leaf-1b,Ethernet1,172.31.1.5/31,spine,spine-1,Ethernet2,172.31.1.4/31
l3leaf,leaf-1b,Ethernet2,172.31.1.7/31,spine,spine-2,Ethernet2,172.31.1.6/31
l3leaf,leaf-2a,Ethernet1,172.31.1.1/31,spine,spine-1,Ethernet3,172.31.1.0/31
l3leaf,leaf-2a,Ethernet2,172.31.1.3/31,spine,spine-2,Ethernet3,172.31.1.2/31
l3leaf,leaf-2b,Ethernet1,172.31.1.5/31,spine,spine-1,Ethernet4,172.31.1.4/31
l3leaf,leaf-2b,Ethernet2,172.31.1.7/31,spine,spine-2,Ethernet4,172.31.1.6/31
l3leaf,leaf-3a,Ethernet1,172.31.1.1/31,spine,spine-1,Ethernet5,172.31.1.0/31
l3leaf,leaf-3a,Ethernet2,172.31.1.3/31,spine,spine-2,Ethernet5,172.31.1.2/31
l3leaf,leaf-4a,Ethernet1,172.31.1.1/31,spine,spine-1,Ethernet7,172.31.1.0/31
l3leaf,leaf-4a,Ethernet2,172.31.1.3/31,spine,spine-2,Ethernet7,172.31.1.2/31
l3leaf,leaf-9a-SVC,Ethernet1,172.31.1.1/31,spine,spine-1,Ethernet9,172.31.1.0/31
l3leaf,leaf-9a-SVC,Ethernet2,172.31.1.3/31,spine,spine-2,Ethernet9,172.31.1.2/31
